,,,,,,,,,,
,,,,,,,,,,
Imaginary,2024,美国,悬疑/惊悚/恐怖,英语,中英双字,2024-03-08(美国),,,104分钟,杰夫&middot;瓦德洛  Jeff Wadlow
Stopmotion,2023,英国/法国,动画/恐怖,英语,中英双字,2023-10-07(伦敦电影节)/2024-02-23(美国),,,93分钟,罗伯特&middot;莫干  Robert Morgan
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Robot  Dreams,2023,西班牙/法国,剧情/动画/音乐,无对白,中文,2023-05-20(戛纳电影节)/2023-12-06(西班牙)/2024(中国大陆),,,102分钟,巴勃罗&middot;贝格尔  Pablo Berger
,,,,,,,,,,
Origin/Caste/Caste:  The Origins of Our  Discontents,2023,美国,剧情/历史,英语,中英双字,2023-09-06(威尼斯电影节)/2024-01-19(美国),,,135分钟,艾娃&middot;德约列  Ava DuVernay
One  Life,2023,英国,剧情/传记/历史,英语,中英双字,2023-09-09(多伦多电影节),,,110分钟,詹姆斯&middot;哈维斯  James Hawes
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
こんにちは、母さん,2023,日本,剧情,日语,中文,2023-06-10(上海国际电影节)/2023-09-01(日本),,,111分钟,山田洋次 Y&ocirc;ji  Yamada
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
The First Slam Dunk/Slam  Dunk/スラムダンク,2022,日本,动画/运动,国日双语,中文,2022-12-03(日本)/2023-04-20(中国大陆),,,124分钟,井上雄彦  Inoue Takehiko
,,,,,,,,,,
Cold  Meat,2023,英国/加拿大,惊悚,英语,中英双字,2023-08-27(FrightFest  London),,,90分钟,塞巴斯蒂安&middot;德鲁因 S&eacute;bastien Drouin
,,,,,,,,,,
长安三万里,2023,中国大陆,动画/历史,普通话,中文,2023-07-08(中国大陆),,,168分钟,谢君伟  Junwei Xie
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Madame  Web,2024,美国,动作/科幻/冒险,英语,中英双字,2024-02-14(美国)/2024-03-01(中国大陆),,,116分钟,S&middot;J&middot;克拉克森 S.J. Clarkson
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
しん次元！クレヨンしんちゃんTHE MOVIE 超能力大�Q��  ～とべとべ手��き寿司～,2023,日本,喜剧/动画,国日双语,中文,2023-08-04(日本)/2023-11-25(中国大陆),,,94分钟,大根仁  Hitoshi Ohne
��行,2023,中国大陆/中国香港,剧情/动作/犯罪,国粤双语,中英双字,2023-12-29(中国大陆),,,114分钟,关智耀  Jason Kwan Chi-Yiu
Ferrari/Enzo  Ferrari,2023,美国/英国/意大利/中国大陆,剧情/传记/历史,英语,中英双字,2023-08-31(威尼斯国际电影节)/2023-12-25(美国),,,130分钟,迈克尔&middot;曼  Michael Mann
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
封神第一部：朝歌风云/封神三部曲1/封神三部曲之妖乱国殇/封神演义系列&middot;龙之战/封神第一部,2023,中国大陆,动作  / 战争 / 奇幻 / 古装,普通话,中文,2023-07-15(大规模点映) /  2023-07-20(中国大陆),,,148分钟,乌尔善 Wuershan
