教父2, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A...,1974,9.3,580131人评价
狮子王, Roger Allers / 罗伯·明可夫 Rob Minkoff, 乔纳森·泰勒·托马...,1994,9.1,883372人评价
辩护人, 杨宇硕 Woo-seok Yang, 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,9.2,613894人评价
饮食男女, 李安 Ang Lee, 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,9.2,652059人评价
搏击俱乐部, 大卫·芬奇 David Fincher, 爱德华·诺顿 Edward Norton / 布拉...,1999,9.0,883920人评价
本杰明·巴顿奇事, 大卫·芬奇 David Fincher, 凯特·布兰切特 Cate Blanchett / ...,2008,9.0,1024074人评价
美丽心灵, 朗·霍华德 Ron Howard, 罗素·克劳 Russell Crowe / 艾德·哈...,2001,9.1,798879人评价
穿条纹睡衣的男孩, 马克·赫尔曼 Mark Herman, 阿萨·巴特菲尔德 Asa Butterfield ...,2008,9.2,592593人评价
窃听风暴, 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck, 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,8.9,1171807人评价
两杆大烟枪, 盖·里奇 Guy Ritchie, 杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,9.1,620925人评价
西西里的美丽传说, 朱塞佩·托纳多雷 Giuseppe Tornatore, 莫妮卡·贝鲁奇 Monica ...,2000,8.9,1015862人评价
音乐之声, 罗伯特·怀斯 Robert Wise, 朱莉·安德鲁斯 Julie Andrews / 克...,1965,9.1,629454人评价
看不见的客人, 奥里奥尔·保罗 Oriol Paulo, 马里奥·卡萨斯 Mario Casas / 阿...,2016,8.8,1329377人评价
哈利·波特与死亡圣器(下), 大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,9.0,873364人评价
